SUMMARY
VIDEO TITLE,5 tips to improve logic building in programming
VIDEO PUBLISHED AT,2017-07-04T10:33:49Z
VIDEO ID,gJT-FaRf5JI
CHANNEL NAME,Hitesh Choudhary
VIEWS COUNT,464039
LIKES COUNT,13697
DISLIKES COUNT,421
COMMENTS COUNT,422
POSITIVE COMMENTS COUNT,191 (60.06%)
NEGATIVE COMMENTS COUNT,27 (8.49%)
NEUTRAL COMMENTS COUNT,100 (31.45%)
OVERALL,Positive comments with Overall Polarity 74.86
COMMENTS
S.No,Category,Author,Comment,Likes Count,Published At,Polarity
1,Positive Comment,Liezl Ymasa,Liezl ymasa#trendy frm pangasinna,0,2020-06-26T11:06:13Z,0.6
2,Positive Comment,Kaushik Poojari,"How is it there is an exactly word-to-word article of the same ""https://www.geeksforgeeks.org/i-cant-use-logic-in-programming-what-should-i-do/""...Something is fishy !!!",0,2020-05-28T16:24:49Z,0.125
3,Positive Comment,tech everything,"thank you sir 
this is very helpfull.",0,2020-04-25T12:02:22Z,0.2
4,Positive Comment,Vish vlog,"First execute  the program in paper, next go to the computer it's a very good habbit for programs",0,2020-04-24T05:09:23Z,0.38666666666666666
5,Positive Comment,Manas Jain,Thanks Sir,0,2020-03-31T13:45:41Z,0.2
6,Positive Comment,ROSHINI REDDY UPPADA,Yeah we need basics to learn c programming perfectly sir,1,2020-03-28T15:14:31Z,1.0
7,Positive Comment,Thabang Ramaja,Thank you for the video. its inspiring.,0,2020-03-19T15:28:54Z,0.5
8,Positive Comment,August Oliver,I love the music!,0,2020-02-29T18:01:44Z,0.625
9,Positive Comment,Can't Decode in CSV,Can't Decode in CSV,0,2020-02-26T06:13:02Z,0.16249999999999998
10,Positive Comment,Muhammad Uzair,I have learnt many things from this channel.Thanks you so much Sir,0,2020-01-30T07:49:49Z,0.35
11,Positive Comment,Sunil kumar,"I like the way you explained the things, and you are very good speaker. I will follow your tips thanks a lot,just hiderance is the music,rest is  all great",0,2020-01-06T19:01:50Z,0.6366666666666666
12,Positive Comment,Lavanya Uppala,Very impormative,0,2019-12-19T07:46:37Z,0.2
13,Positive Comment,Sagar Mainali,feedback: music doesn't suit in this kind of video and is distracting.,1,2019-12-18T14:12:12Z,0.6
14,Positive Comment,Hamza Shaheen,good explanation ...how to improve logic skills in programming ....it's  very helpful...*_*,0,2019-10-18T06:48:37Z,0.44999999999999996
15,Positive Comment,Rohan Sutar,Thanks HC,0,2019-10-16T01:11:29Z,0.2
16,Positive Comment,Akshay Anurag,"Hitesh: StackOverflow is a very kind community
StackOverflow: Ha Ha! Nice one!",7,2019-09-29T13:42:46Z,0.8625
17,Positive Comment,Sanscy Star,"3:57 tried doing this in my school exam .......really helps man, thanks!!",5,2019-09-20T14:40:25Z,0.3125
18,Positive Comment,Suraj Bhoslé,"Keep moving.
If you cannot finish up with the current project, skip it and start with a new one. If you get stuck somewhere, take a gap for a couple of weeks, and then steal it from somewhere, or ask your teacher to do it herself.",0,2019-09-16T15:45:34Z,0.06818181818181818
19,Positive Comment,shubham bhatt,If we check others code how we can create our own ...,0,2019-09-02T13:14:49Z,0.6
20,Positive Comment,muskan srivastava,practicing of one programme more than two times is right or wrong?? its helps too improve in logic or it be like memorizing code...,1,2019-08-20T18:09:20Z,0.09523809523809523
